SIZE,AVERAGE,BEST,WORST
767,5936,6442,5345
999,8040,8696,7315
252,1531,1689,1357
768,5909,6451,5341
428,2958,3225,2629
736,5650,6135,5087
604,4429,4849,4007
132,697,765,593
77,338,386,294
650,4885,5305,4356
628,4673,5081,4201
111,536,618,475
13,26,32,22
613,4505,4940,4110
175,982,1098,869
689,5203,5678,4726
133,696,772,606
786,6151,6629,5488
983,7916,8542,7195
947,7595,8180,6909
236,1435,1571,1259
161,886,982,764
868,6836,7423,6221
134,701,779,604
935,7495,8068,6797
585,4289,4656,3854
973,7801,8446,7202
710,5417,5889,4886
43,152,180,137
430,2945,3245,2688
929,7420,8012,6770
608,4515,4889,4049
677,5096,5568,4620
893,7130,7668,6514
262,1575,1777,1426
86,394,449,338
259,1618,1750,1411
519,3706,4036,3325
230,1352,1521,1222
249,1512,1662,1348
87,406,456,341
415,2833,3114,2533
123,621,698,539
131,672,758,585
8,15,15,9
75,334,376,279
670,5036,5497,4560
425,2949,3192,2618
387,2604,2866,2323
766,5904,6429,5362
688,5203,5669,4709
968,7807,8391,7045
549,3989,4312,3586
266,1650,1811,1454
184,1053,1161,921
841,6613,7144,6000
733,5624,6114,5112
917,7296,7900,6688
620,4588,5015,4137
320,2068,2271,1845
191,1093,1220,967
927,7392,8000,6729
869,6845,7430,6262
329,2157,2356,1900
304,1956,2129,1733
800,6223,6755,5643
48,183,207,147
598,4411,4803,3964
569,4146,4498,3730
317,2051,2260,1814
301,1896,2120,1698
128,654,723,575
616,4599,4959,4093
822,6388,6977,5810
351,2308,2554,2067
522,3731,4057,3362
487,3429,3740,3077
361,2413,2634,2128
374,2501,2755,2250
285,1796,1972,1582
626,4683,5063,4188
678,5127,5583,4602
135,709,786,619
94,445,503,378
315,2038,2236,1809
450,3162,3413,2804
911,7255,7844,6603
518,3691,4017,3352
344,2231,2479,2011
222,1312,1455,1160
914,7280,7871,6610
756,5816,6329,5275
341,2263,2468,1980
554,4038,4371,3608
525,3757,4086,3380
958,7662,8297,7008
850,6715,7249,6070
856,6751,7293,6109
570,4127,4521,3748
603,4431,4838,4009
248,1503,1653,1327
192,1099,1221,967
707,5394,5860,4857
454,3139,3455,2854
639,4774,5198,4307
550,3964,4333,3590
752,5750,6289,5231
505,3572,3896,3216
119,615,672,517
923,7366,7952,6675
926,7404,7989,6730
139,743,818,639
659,4921,5388,4457
825,6461,6986,5862
66,279,315,240
434,2971,3273,2692
684,5187,5633,4673
476,3361,3645,3001
333,2162,2398,1930
345,2268,2498,2026
711,5395,5894,4885
714,5461,5927,4900
99,471,538,401
674,5090,5539,4576
583,4238,4650,3845
338,2217,2443,1970
167,949,1034,805
32,100,115,81
539,3882,4224,3493
213,1268,1390,1094
147,790,880,681
680,5168,5589,4621
426,2896,3207,2636
826,6424,7009,5848
227,1360,1498,1193
706,5364,5851,4836
273,1696,1866,1498
381,2544,2818,2288
966,7760,8375,7040
360,2391,2621,2131
527,3777,4110,3403
466,3276,3559,2942
146,779,871,674
848,6660,7229,6043
561,4072,4434,3670
513,3646,3962,3270
576,4198,4579,3763
405,2740,3024,2450
228,1382,1507,1203
362,2407,2649,2144
203,1168,1310,1041
956,7656,8279,6993
548,3959,4307,3553
777,6005,6522,5446
142,756,841,644
803,6227,6784,5667
781,6085,6574,5522
446,3093,3385,2806
943,7542,8152,6879
579,4207,4602,3815
145,762,862,678
762,5882,6391,5310
30,97,107,78
171,968,1064,837
221,1327,1452,1158
211,1244,1372,1097
530,3786,4137,3430
214,1253,1399,1112
940,7507,8121,6853
944,7580,8159,6873
322,2086,2295,1852
961,7700,8328,7054
540,3919,4231,3497
129,657,732,576
669,5031,5496,4580
831,6511,7062,5921
860,6809,7343,6143
225,1364,1478,1186
546,3951,4291,3552
523,3760,4064,3373
100,481,541,417
594,4334,4751,3946
229,1382,1512,1220
27,86,92,67
103,487,564,425
951,7575,8226,6925
41,148,166,122
151,823,910,711
875,6947,7488,6285
955,7635,8270,6969
406,2753,3035,2486
879,6944,7534,6303
385,2584,2840,2296
169,936,1046,830
729,5614,6066,5044
326,2144,2337,1900
720,5502,5985,4947
36,119,137,101
429,2964,3234,2640
828,6485,7029,5875
734,5640,6123,5086
379,2546,2798,2259
239,1422,1592,1295
529,3773,4124,3398
895,7094,7686,6455
64,274,299,225
615,4533,4962,4105
153,838,920,724
197,1146,1266,1004
178,1013,1119,874
219,1301,1436,1157
12,17,29,17
779,6046,6562,5447
272,1707,1857,1507
792,6136,6669,5533
202,1186,1303,1024
675,5101,5540,4595
107,521,592,449
891,7045,7640,6409
316,2032,2247,1809
949,7614,8210,6952
294,1875,2055,1658
190,1089,1211,950
748,5768,6253,5191
96,467,513,393
622,4636,5031,4178
872,6878,7441,6205
938,7522,8101,6822
337,2195,2422,1948
439,3051,3322,2705
988,7944,8587,7245
61,255,280,216
601,4416,4814,3974
293,1873,2048,1634
324,2091,2315,1867
808,6319,6823,5689
528,3774,4121,3381
279,1757,1920,1565
497,3532,3824,3154
334,2167,2405,1950
898,7099,7713,6494
846,6645,7207,6048
571,4134,4528,3735
472,3321,3599,2965
773,5985,6498,5428
5,4,6,4
240,1457,1593,1279
642,4825,5229,4308
156,853,949,733
206,1206,1335,1056
319,2066,2274,1825
422,2883,3175,2614
614,4551,4963,4088
607,4535,4894,4041
686,5189,5653,4700
921,7313,7924,6698
365,2439,2678,2164
253,1544,1698,1368
242,1469,1615,1282
960,7689,8315,6967
836,6589,7111,5943
419,2861,3142,2557
587,4305,4688,3885
275,1704,1886,1519
503,3545,3876,3197
23,67,74,51
177,977,1108,870
657,4895,5368,4444
514,3664,3979,3300
977,7915,8484,7170
198,1153,1273,996
705,5354,5838,4854
208,1246,1347,1071
772,5979,6495,5365
50,191,221,158
490,3452,3769,3106
637,4759,5176,4296
582,4237,4643,3842
908,7228,7809,6571
682,5175,5613,4626
934,7436,8067,6778
269,1662,1836,1470
81,360,414,310
590,4325,4721,3924
633,4700,5118,4256
104,509,565,439
55,209,248,185
159,875,974,765
824,6469,6973,5799
349,2322,2540,2054
754,5847,6309,5232
408,2747,3047,2489
117,594,656,514
455,3152,3458,2827
790,6155,6679,5554
21,58,64,44
125,634,710,550
853,6710,7276,6110
829,6440,7040,5962
3,2,2,1
278,1752,1913,1546
183,1038,1156,927
989,8024,8602,7334
141,728,832,650
34,109,129,92
842,6589,7169,5982
978,7896,8493,7174
53,208,236,180
724,5530,6027,4971
182,1019,1151,902
76,342,377,287
152,816,913,721
702,5299,5809,4822
972,7795,8433,7111
979,7928,8508,7147
770,5945,6477,5358
288,1814,1997,1611
421,2898,3166,2590
495,3517,3810,3143
591,4346,4734,3909
797,6203,6746,5684
102,488,557,428
863,6836,7380,6179
231,1367,1530,1231
882,6950,7553,6332
401,2739,2986,2424
737,5667,6146,5110
774,5985,6509,5396
457,3163,3476,2854
687,5190,5666,4707
494,3500,3805,3162
984,7963,8551,7187
113,572,628,488
10,18,21,12
652,4882,5321,4415
220,1293,1443,1155
287,1810,1994,1607
741,5707,6184,5178
188,1054,1195,943
97,460,520,392
112,562,619,487
276,1731,1891,1523
810,6314,6855,5696
127,647,726,563
661,4976,5412,4516
644,4762,5243,4325
445,3089,3376,2758
180,1026,1135,883
727,5552,6050,5013
2,1,1,0
524,3774,4073,3359
448,3126,3393,2797
