SIZE,AVERAGE,BEST,WORST
371,36492,370,68635
656,108929,655,214840
863,188508,862,371953
824,177685,823,339076
636,103763,635,201930
872,192913,871,379756
211,11085,210,22155
857,178670,856,366796
131,4193,130,8515
194,9776,193,18721
663,110619,662,219453
496,59587,495,122760
629,101724,628,197506
727,134837,726,263901
708,128646,707,250278
23,134,22,253
705,126008,704,248160
933,216186,932,434778
972,231678,971,471906
558,78043,557,155403
187,8973,186,17391
905,218647,904,409060
917,214237,916,419986
918,199547,917,420903
957,225037,956,457446
641,100034,640,205120
817,170633,816,333336
812,170482,811,329266
994,246680,993,493521
121,3719,120,7260
567,81711,566,160461
804,164910,803,322806
274,18097,273,37401
388,38007,387,75078
550,74836,549,150975
42,445,41,861
399,39422,398,79401
78,1710,77,3003
152,6070,151,11476
555,79564,554,153735
58,943,57,1653
742,137014,741,274911
125,4067,124,7750
729,136639,728,265356
351,31963,350,61425
171,7211,170,14535
920,206692,919,422740
977,234448,976,476776
605,86926,604,182710
276,18974,275,37950
588,85808,587,172578
459,51962,458,105111
435,44910,434,94395
173,7933,172,14878
695,122775,694,241165
887,197770,886,392941
691,122421,690,238395
196,9470,195,19110
411,41589,410,84255
345,29739,344,59340
325,27100,324,52650
703,126285,702,246753
922,208134,921,424581
204,10477,203,20706
599,86491,598,179101
232,13583,231,26796
216,11630,215,23220
707,125281,706,249571
346,29922,345,59685
175,8230,174,15225
127,4434,126,8001
21,119,20,210
343,29673,342,58653
671,115458,670,224785
775,145634,774,299925
971,246440,970,470935
90,1954,89,4005
53,856,52,1378
422,45591,421,88831
983,246526,982,482653
993,250772,992,492528
189,8736,188,17766
874,189628,873,381501
882,192348,881,388521
525,68321,524,137550
565,74971,564,159330
697,124741,696,242556
626,101985,625,195625
451,50618,450,101475
640,100828,639,204480
106,2860,105,5565
263,17847,262,34453
898,203178,897,402753
114,3543,113,6441
295,21446,294,43365
127,3787,126,8001
636,103934,635,201930
232,13808,231,26796
185,7962,184,17020
414,42239,413,85491
321,24136,320,51360
845,176464,844,356590
697,119291,696,242556
241,14431,240,28920
523,69843,522,136503
998,249743,997,497503
845,177716,844,356590
170,7106,169,14365
615,99027,614,188805
136,5031,135,9180
271,17910,270,36585
267,18515,266,35511
619,99548,618,191271
493,63923,492,121278
238,13432,237,28203
862,193121,861,371091
740,128874,739,273430
306,23002,305,46665
355,31418,354,62835
699,122071,698,243951
359,31123,358,64261
202,10002,201,20301
427,45044,426,90951
197,9295,196,19306
489,62076,488,119316
944,212729,943,445096
785,150451,784,307720
498,60795,497,123753
62,1057,61,1891
879,191555,878,385881
889,202960,888,394716
890,202057,889,395605
990,245320,989,489555
672,114945,671,225456
476,54861,475,113050
19,90,18,171
59,740,58,1711
375,37084,374,70125
86,1879,85,3655
182,7758,181,16471
221,12743,220,24310
264,18239,263,34716
943,220799,942,444153
898,192972,897,402753
145,5713,144,10440
128,4352,127,8128
985,243713,984,484620
497,61864,496,123256
911,204317,910,414505
442,49438,441,97461
518,64983,517,133903
726,132258,725,263175
626,96394,625,195625
458,50463,457,104653
25,170,24,300
953,226915,952,453628
414,39515,413,85491
174,7384,173,15051
237,14738,236,27966
412,43518,411,84666
490,62960,489,119805
500,64250,499,124750
592,92231,591,174936
488,58557,487,118828
261,17451,260,33930
767,152679,766,293761
750,140547,749,280875
404,43681,403,81406
908,212375,907,411778
574,82217,573,164451
634,100044,633,200661
286,19504,285,40755
814,159120,813,330891
640,109681,639,204480
681,116659,680,231540
712,124982,711,253116
