SIZE,AVERAGE,BEST,WORST
821,6930,3833,4174
946,8174,4571,4811
729,6039,3329,3666
659,5366,2955,3270
533,4170,2367,2472
564,4453,2496,2684
175,1081,618,701
66,323,195,205
917,7865,4393,4670
770,6421,3589,3857
643,5210,2888,3161
369,2680,1508,1670
878,7499,4161,4473
118,667,393,423
792,6649,3684,4004
434,3280,1833,1995
993,8634,4885,5014
676,5541,3040,3372
549,4317,2431,2584
585,4650,2591,2820
545,4267,2418,2553
256,1722,1024,1024
132,764,456,476
816,6882,3808,4144
507,3918,2264,2294
948,8197,4584,4820
983,8551,4812,4977
958,8283,4655,4859
377,2757,1553,1705
111,617,362,398
26,93,57,67
456,3464,1956,2092
829,7015,3882,4213
688,5640,3104,3440
454,3446,1945,2083
564,4475,2496,2684
655,5314,2938,3243
901,7725,4308,4579
255,1715,1016,1023
100,547,316,356
391,2883,1623,1775
98,532,309,347
329,2345,1311,1467
546,4303,2421,2561
593,4741,2627,2872
768,6431,3584,3840
80,412,240,272
33,127,81,86
501,3852,2222,2276
923,7930,4429,4700
14,38,25,29
146,876,501,557
903,7784,4318,4591
915,7823,4382,4659
558,4372,2469,2645
322,2288,1285,1423
612,4900,2720,2988
496,3808,2192,2256
650,5286,2915,3211
374,2722,1535,1693
213,1372,788,873
923,7930,4429,4700
144,859,496,544
449,3395,1923,2055
343,2472,1374,1544
446,3344,1905,2043
928,7994,4464,4720
330,2349,1315,1473
813,6850,3789,4130
162,992,565,637
673,5520,3027,3352
172,1056,604,688
32,123,80,80
117,665,388,420
115,651,379,413
576,4580,2560,2752
869,7392,4105,4430
830,7034,3889,4217
777,6489,3615,3908
87,463,263,305
444,3358,1892,2036
365,2667,1485,1653
646,5231,2899,3183
563,4432,2491,2678
251,1685,989,1014
608,4871,2704,2960
29,109,67,75
153,929,527,594
24,84,52,60
290,2019,1141,1247
783,6572,3642,3947
26,93,57,67
922,7938,4423,4695
819,6896,3822,4163
182,1149,649,733
81,416,242,278
875,7442,4141,4460
106,585,339,381
582,4627,2579,2799
212,1376,784,868
165,1001,575,654
576,4590,2560,2752
686,5610,3091,3431
324,2296,1292,1436
369,2697,1508,1670
217,1410,808,889
160,976,560,624
860,7336,4052,4384
560,4426,2480,2656
275,1870,1080,1158
274,1872,1077,1151
80,403,240,272
122,699,413,435
490,3744,2151,2237
553,4363,2447,2612
749,6238,3450,3765
18,54,35,41
94,500,293,331
891,7660,4248,4529
574,4544,2547,2743
34,131,83,91
774,6463,3603,3887
459,3498,1970,2108
856,7269,4028,4364
701,5733,3178,3509
292,2018,1148,1260
83,421,248,288
500,3848,2216,2272
191,1211,697,766
149,907,511,574
216,1390,804,884
771,6401,3592,3865
879,7462,4168,4477
988,8567,4848,4996
637,5130,2858,3125
966,8376,4703,4899
205,1318,752,837
226,1482,855,923
529,4138,2354,2441
602,4796,2669,2929
382,2805,1585,1723
633,5101,2833,3106
380,2773,1572,1716
262,1771,1037,1071
693,5675,3129,3470
314,2227,1245,1383
704,5808,3200,3520
114,648,375,409
418,3097,1751,1917
116,648,384,416
842,7144,3949,4289
851,7229,3998,4339
591,4670,2618,2859
400,2963,1664,1824
249,1684,977,1008
484,3702,2116,2212
228,1506,864,932
904,7748,4324,4596
312,2218,1236,1372
103,565,327,369
519,4031,2320,2365
895,7661,4279,4542
936,8058,4508,4764
76,379,224,256
680,5583,3060,3396
812,6842,3784,4124
459,3462,1970,2108
397,2952,1648,1810
588,4666,2604,2840
661,5396,2964,3283
858,7276,4039,4375
81,420,242,278
619,4958,2754,3031
32,123,80,80
637,5142,2858,3125
110,614,357,395
532,4137,2364,2464
474,3619,2055,2173
433,3260,1828,1990
278,1912,1091,1177
634,5104,2839,3111
914,7864,4377,4653
429,3218,1805,1973
586,4660,2595,2827
110,621,357,395
217,1421,808,889
381,2783,1578,1720
667,5462,2994,3319
335,2384,1338,1500
666,5428,2989,3313
29,105,67,75
363,2656,1474,1644
599,4783,2654,2911
171,1051,599,684
278,1912,1091,1177
936,8044,4508,4764
512,3952,2304,2304
638,5167,2865,3129
579,4557,2568,2777
91,485,279,321
870,7392,4111,4435
169,1038,591,674
770,6420,3589,3857
124,709,424,440
880,7492,4176,4480
164,1012,572,648
499,3863,2209,2269
787,6609,3659,3974
599,4765,2654,2911
728,6038,3324,3660
106,584,339,381
498,3840,2203,2265
852,7266,4004,4344
32,122,80,80
316,2225,1256,1392
96,512,304,336
263,1781,1040,1078
986,8582,4833,4989
575,4546,2553,2748
336,2415,1344,1504
394,2907,1635,1793
903,7773,4318,4591
68,330,200,216
357,2588,1444,1614
557,4384,2464,2639
184,1151,660,740
141,818,483,530
429,3225,1805,1973
490,3777,2151,2237
637,5129,2858,3125
27,97,60,70
600,4790,2660,2916
475,3626,2061,2177
668,5450,3000,3324
924,7966,4436,4704
871,7413,4117,4440
897,7694,4291,4552
798,6685,3715,4039
441,3319,1873,2025
167,1018,583,664
306,2156,1207,1341
994,8657,4891,5019
361,2635,1464,1634
27,103,60,70
880,7495,4176,4480
591,4734,2618,2859
780,6526,3628,3928
436,3295,1844,2004
555,4360,2455,2626
135,793,464,495
203,1309,743,828
51,223,136,157
796,6681,3704,4028
209,1367,771,854
577,4584,2562,2761
495,3810,2184,2254
234,1555,893,957
391,2876,1623,1775
879,7526,4168,4477
663,5369,2974,3295
247,1641,965,1002
703,5756,3192,3517
801,6726,3731,4056
611,4871,2715,2982
252,1703,996,1016
821,6923,3833,4174
397,2940,1648,1810
872,7439,4124,4444
601,4787,2664,2923
596,4784,2640,2892
537,4167,2383,2500
205,1319,752,837
756,6279,3496,3796
430,3226,1811,1977
947,8184,4577,4816
943,8132,4552,4797
995,8628,4897,5024
406,3026,1689,1859
883,7538,4193,4496
608,4854,2704,2960
854,7241,4015,4355
190,1211,691,763
767,6411,3575,3838
322,2296,1285,1423
91,481,279,321
710,5842,3225,3561
73,363,214,242
109,593,352,392
678,5497,3049,3385
126,715,435,445
447,3377,1912,2046
434,3288,1833,1995
2,1,1,1
428,3196,1800,1968
923,7933,4429,4700
756,6299,3496,3796
110,619,357,395
670,5477,3011,3335
540,4223,2396,2520
677,5530,3044,3379
531,4153,2360,2457
618,4978,2749,3025
896,7612,4288,4544
838,7117,3929,4265
482,3691,2105,2203
78,387,231,265
505,3916,2250,2288
620,4967,2760,3036
772,6441,3596,3872
722,5964,3289,3629
25,88,54,64
455,3442,1950,2088
59,273,167,182
810,6857,3773,4113
286,1979,1125,1223
140,810,480,524
453,3426,1940,2078
241,1602,932,981
432,3263,1824,1984
236,1575,904,964
43,183,108,129
642,5165,2885,3153
102,563,323,365
906,7759,4333,4609
777,6522,3615,3908
938,8065,4519,4775
133,777,458,483
770,6414,3589,3857
165,1014,575,654
767,6408,3575,3838
481,3702,2100,2198
495,3805,2184,2254
630,5078,2815,3091
445,3348,1898,2040
179,1119,635,720
17,52,33,37
174,1089,613,697
740,6117,3396,3720
452,3411,1936,2072
401,2988,1667,1831
364,2642,1480,1648
208,1336,768,848
26,91,57,67
267,1815,1052,1106
961,8317,4676,4871
545,4271,2418,2553
711,5805,3230,3567
809,6823,3768,4107
756,6289,3496,3796
635,5134,2845,3116
358,2603,1449,1619
666,5411,2989,3313
36,149,88,100
391,2879,1623,1775
592,4704,2624,2864
812,6874,3784,4124
918,7913,4399,4675
232,1542,884,948
919,7908,4405,4680
854,7245,4015,4355
971,8419,4733,4924
352,2543,1424,1584
573,4531,2541,2738
386,2838,1605,1743
535,4178,2375,2486
893,7644,4263,4536
769,6446,3586,3849
603,4852,2674,2935
982,8552,4805,4973
251,1700,989,1014
101,543,319,361
920,7896,4412,4684
619,4974,2754,3031
37,144,90,105
471,3607,2037,2161
177,1113,627,710
913,7835,4372,4647
776,6472,3612,3900
808,6794,3764,4100
894,7665,4271,4539
739,6104,3390,3715
25,84,54,64
566,4470,2505,2697
840,7073,3940,4276
642,5163,2885,3153
514,4007,2307,2323
144,861,496,544
665,5407,2984,3307
196,1252,716,792
488,3725,2140,2228
600,4825,2660,2916
462,3487,1987,2121
248,1658,972,1004
395,2901,1639,1799
821,6895,3833,4174
503,3900,2236,2282
728,6017,3324,3660
504,3887,2244,2284
525,4100,2339,2412
351,2553,1417,1581
442,3333,1879,2029
856,7251,4028,4364
517,4012,2314,2349
395,2923,1639,1799
988,8584,4848,4996
525,4086,2339,2412
564,4461,2496,2684
800,6703,3728,4048
568,4494,2516,2708
410,3052,1709,1879
600,4777,2660,2916
844,7149,3960,4300
