SIZE,AVERAGE,BEST,WORST
85,533,543,501
406,4141,3489,3730
816,9026,8203,8638
228,1601,1857,1808
260,2137,2314,2001
283,2624,2456,2320
496,4914,5199,4867
339,3029,3169,2974
551,5537,6160,5379
199,1447,1504,1646
1,0,0,0
555,5258,5540,5776
333,3285,3103,3006
672,6470,7261,6415
867,10615,9382,9321
110,724,719,644
459,4405,4805,4643
375,3054,3738,3614
580,6075,5172,5796
881,8964,9500,8767
679,6471,7171,7017
491,4607,4760,5313
179,1619,1338,1270
454,4905,4913,4072
52,277,242,264
311,2374,2892,2638
636,5934,6148,6897
363,3367,3109,3038
830,8531,9247,8631
552,5110,5196,5403
562,5228,5288,5354
564,6115,5591,5174
6,9,10,11
796,8313,9451,8322
256,2134,2125,2069
692,6864,7853,6917
720,7400,6990,7548
278,2305,2443,2532
827,8445,9267,8555
287,2529,2360,2499
739,7347,7251,7562
42,198,201,190
609,6270,6427,5804
808,8957,9039,8200
783,8231,8943,8572
407,3784,3319,4066
812,8199,9328,8039
535,4814,5196,5209
857,8481,8589,9533
2,1,1,1
321,2769,2537,2887
78,418,529,405
731,9543,7698,8635
301,2553,2668,2628
632,6362,6149,6210
892,8594,10079,9850
271,2051,2478,2523
779,8063,8027,8016
439,4462,3958,3986
90,595,617,537
848,9641,8543,9281
81,497,497,519
272,2577,2487,2397
472,4418,4798,3987
818,7777,8847,8293
746,7917,8923,8478
205,1549,1705,1679
616,5834,6198,6680
862,9990,9994,8993
51,355,288,247
508,5203,4766,5436
56,306,264,331
479,4923,4822,4609
677,6468,7143,6192
568,5525,6124,5182
854,9357,9422,9181
317,2678,2647,2575
64,406,388,345
25,101,104,91
893,8901,8963,9336
92,530,523,499
115,823,759,789
306,2527,2450,2608
735,7838,7769,7126
603,6630,6151,7301
776,7634,8349,7606
3,3,3,3
365,3469,2989,3280
492,4497,5002,4240
802,8824,8441,8019
561,5127,5246,5427
258,2385,2038,2147
171,1264,1209,1261
274,2602,2129,2288
7,17,14,16
534,4983,5025,4847
24,77,96,100
136,827,946,908
670,6751,6996,6431
678,6446,6724,6777
714,7467,8040,7879
178,1586,1324,1334
748,7322,7810,8468
86,587,476,441
563,5465,5584,6197
330,2895,2626,3078
480,4604,4208,4110
493,4834,4544,4394
445,4219,4053,3983
750,7655,7405,7724
26,96,109,100
425,4351,3875,3854
763,8098,7897,8097
509,5050,4850,5440
376,3189,3773,3082
650,6517,6466,6969
254,2255,1975,2205
652,6579,6100,6262
647,6680,6190,6560
447,4237,4091,4267
77,431,476,437
822,9553,8098,9136
15,39,43,62
793,7889,9457,8968
174,1221,1214,1337
198,1453,1377,1350
516,4627,5508,4599
478,4673,5855,4646
235,1814,1803,1998
312,2750,2506,2922
485,4653,4462,4747
9,20,21,20
99,662,630,697
215,1614,1767,1829
158,1548,1160,1134
338,2715,3012,2905
511,4599,4576,4605
370,3393,3435,3141
299,2468,2563,2808
894,9228,9721,9495
405,3390,3591,3556
751,9136,7681,8712
182,1373,1503,1492
392,3505,4061,3515
691,7788,6971,7376
11,24,27,27
612,6249,5775,6168
159,1177,1136,1154
238,1744,1661,1877
